PROYECTO_ID;ORIGEN_ID;CLIENTE_ID;EMPRESA_ID;FOLIO;CORTO;NOMBRE;CONTRATO;HORAS;COSTO;COSTO_DESCUENTO;COSTO_TOTAL;INICIO;TERMINO;ESTATUS;BRM;DESCUENTO;ANEXO;ORDEN;ADMON;RESPONSABLE_VTA;CODIGO_PROYECTO;MONEDA_ID;COMENTARIOS;CODIGO_PRY_BANCO;RESPONSABLE_PRY_CLIENTE;RESPONSABLE_PTO;AREA_INTERNA_ID;PORCENTAJE_AVANCE;OPORTUNIDAD_ID;TIPO_SERVICIO_ID;PRIORIDAD;CONSECUTIVO;ANO;CODIGO_CLIENTE;ASIGNACION_ID;PROYECTO_ID;NOMINA_ID;ANO1;ene-01;feb-01;mar-01;abr-01;may-01;jun-01;jul-01;ago-01;sep-01;oct-01;nov-01;dic-01;ANO2;ene-02;feb-02;mar-02;abr-02;may-02;jun-02;jul-02;ago-02;sep-02;oct-02;nov-02;dic-02;ANO3;ene-03;feb-03;mar-03;abr-03;may-03;jun-03;jul-03;ago-03;sep-03;oct-03;nov-03;dic-03;ASIGNA_INICIO;ASIGNA_FIN
72;1;9;1;P12-1070;12-30 Tester Domi Ext. 3;DESARR CIRCULAR 23 REGULACION DOMICILIACION;0001467421;2868;846060;778375.2;389187.6;10/01/2012;06/30/2013;CERRADO;2189029;8;Anexo 1 Sonda;18129;N;1;;21;;;;21;;;;1;Bajo;;;;87;72;24;2012;;;;;;;;;;8;160;152;2013;176;152;144;176;176;96;;;;;;;;;;;;;;;;;;;;;
65;1;9;1;P12-1020;12-20 Cheques Dolares BNE;IMPLEMENTAR CUENTAS CHEQUE DOLARES;1068016490;664;339280;305352;244281.6;11/01/2012;11/30/2013;CERRADO;2200618;10;Anexo 3 Sonda;18744;N;1;;21;;;;21;;;;1;Bajo;;;;88;65;1;2012;;;;;;;;;;;16;16;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;1;9;1;P12-1020;12-20 Cheques Dolares BNE;IMPLEMENTAR CUENTAS CHEQUE DOLARES;1068016490;664;339280;305352;244281.6;11/01/2012;11/30/2013;CERRADO;2200618;10;Anexo 3 Sonda;18744;N;1;;21;;;;21;;;;1;Bajo;;;;89;65;7;2012;;;;;;;;;;;40;136;2013;176;152;;;;;84;;;;;;;;;;;;;;;;;;;;
66;1;9;1;P12-880;12-22 ST CNBV FII;000000000000158287;0001458666;1224;538560;495475.2;386470.66;09/01/2012;04/30/2013;CERRADO;2170800;8;Anexo 1 Sonda;;N;1;;21;;;;21;;;;1;Bajo;;;;90;66;1;2012;;;;;;;;;10;32;32;16;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;1;9;1;P12-880;12-22 ST CNBV FII;000000000000158287;0001458666;1224;538560;495475.2;386470.66;09/01/2012;04/30/2013;CERRADO;2170800;8;Anexo 1 Sonda;;N;1;;21;;;;21;;;;1;Bajo;;;;91;66;4;2012;;;;;;;;;40;184;160;152;2013;176;152;144;176;;;;;;;;;;;;;;;;;;;;;;;
54;;8;1;;12-502 Administrativos 2012;ADMINISTRATIVOS;;0;0;0;0;12/01/2011;12/31/2012;CERRADO;;0;;;S;1;;21;;;;21;;;;1;Bajo;;;;150;54;30;2011;;;;;;;;;;;;;2012;;;;;;;;;;;160;152;;;;;;;;;;;;;;;
118;1;9;1;P13-1460;13-14 Tester Monica;P13-1460 IT Improve COB Schemes &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;1;9;1;P13-924;13-19 Testers Domi 1;P13-924 Interbank Payments And Wireless Transfer Regulation;1068082495;856;237368.8;208884.54;104442.28;06/01/2013;11/30/2013;CERRADO;2416322;12;ITW Anexo 7;20700;N;1;;21;;;;21;;;;1;Bajo;;;;222;108;23;2013;;;;;;64;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;1;9;1;P13-924;13-19 Testers Domi 1;P13-924 Interbank Payments And Wireless Transfer Regulation;1068082495;856;237368.8;208884.54;104442.28;06/01/2013;11/30/2013;CERRADO;2416322;12;ITW Anexo 7;20700;N;1;;21;;;;21;;;;1;Bajo;;;;223;108;24;2013;;;;;;64;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;1;9;1;P13-924;13-19 Testers Domi 1;P13-924 Interbank Payments And Wireless Transfer Regulation;1068082495;856;237368.8;208884.54;104442.28;06/01/2013;11/30/2013;CERRADO;2416322;12;ITW Anexo 7;20700;N;1;;21;;;;21;;;;1;Bajo;;;;224;108;59;2013;;;;;;64;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;1;9;1;P12-1007;12-28 Usuarios y Tester CNBV;CNBV ALTA MASIVA DE CUENTAS EN EL PAGO;1068014312;2115;923040;830736;304886.5;03/01/2013;08/31/2013;CERRADO;2193751;10;Anexo 3 Sonda;18744;N;1;;21;;;;21;;;;1;Bajo;;;;235;71;26;2013;;;;;176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;1;9;1;P12-1007;12-28 Usuarios y Tester CNBV;CNBV ALTA MASIVA DE CUENTAS EN EL PAGO;1068014312;2115;923040;830736;304886.5;03/01/2013;08/31/2013;CERRADO;2193751;10;Anexo 3 Sonda;18744;N;1;;21;;;;21;;;;1;Bajo;;;;236;71;44;2013;;;;;;;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;1;9;1;P14-647;14-09 BR Gustavo Perez;14-09 BR Gustavo Perez;1068152192;960;427311.72;414508.16;362889.68;05/01/2014;09/30/2014;CERRADO;2644960;3;Anexo 13;;N;1;;21;;;;21;;;;1;Bajo;;;;422;171;107;2014;;;;;168;168;184;168;168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;1;9;1;P13-1460;13-14 Tester Monica;P13-1460 IT Improve COB Schemes &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;1;9;1;P13-1460;13-14 Tester Monica;P13-1460 IT Improve COB Schemes &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;1;9;1;P13-1460;13-14 Tester Monica;P13-1460 IT Improve COB Schemes &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;1;9;1;P13-1460;13-14 Tester Monica;P13-1460 IT Improve COB Schemes &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;1;9;1;P13-1460;13-14 Tester Monica;P13-1460 IT Improve COB Schemes &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;1;9;1;P13-1460;13-14 Tester Monica;P13-1460 IT Improve COB Schemes &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;1;9;1;P13-1460;13-14 Tester Monica;P13-1460 IT Improve COB Schemes &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;1;9;1;P13-1460;13-14 Tester Monica;P13-1460 IT Improve COB Schemes &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
